,global_route_id,itineraries,mode_name,real_time_route_id,route_color,route_long_name,route_network_id,route_network_name,route_short_name,route_text_color,route_type,sorting_key,tts_long_name,tts_short_name
0,BBB:14413,"[{'branch_code': '', 'direction_headsign': 'UCLA', 'direction_id': 0, 'headsign': 'UCLA', 'merged_headsign': 'UCLA', 'schedule_items': [{'departure_time': 1684296360, 'is_cancelled': False, 'is_real_time': False, 'rt_trip_id': '903272', 'scheduled_departure_time': 1684296360, 'trip_search_key': 'BBB:42140293:9:7:0', 'wheelchair_accessible': 1}, {'departure_time': 1684382760, 'is_cancelled': False, 'is_real_time': False, 'rt_trip_id': '903272', 'scheduled_departure_time': 1684382760, 'trip_search_key': 'BBB:42140293:9:8:0', 'wheelchair_accessible': 1}, {'departure_time': 1684469160, 'is_cancelled': False, 'is_real_time': False, 'rt_trip_id': '903272', 'scheduled_departure_time': 1684469160, 'trip_search_key': 'BBB:42140293:9:9:0', 'wheelchair_accessible': 1}]}]",Bus,3605,00549e,Wilshire Blvd / UCLA,Big Blue Bus|Los Angeles,Big Blue Bus,2,ffffff,3,2,Wilshire Blvd / UCLA,2
1,BBB:69580,"[{'branch_code': '', 'direction_headsign': 'UCLA', 'direction_id': 0, 'headsign': 'UCLA', 'merged_headsign': 'UCLA', 'schedule_items': [{'departure_time': 1684253587, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905384', 'scheduled_departure_time': 1684253580, 'trip_search_key': 'BBB:42140293:43:7:3', 'wheelchair_accessible': 1}, {'departure_time': 1684255248, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905385', 'scheduled_departure_time': 1684255320, 'trip_search_key': 'BBB:42140293:43:7:4', 'wheelchair_accessible': 1}, {'departure_time': 1684257180, 'is_cancelled': False, 'is_real_time': False, 'rt_trip_id': '905386', 'scheduled_departure_time': 1684257180, 'trip_search_key': 'BBB:42140293:43:7:5', 'wheelchair_accessible': 1}]}]",Bus,3619,00549e,UCLA - Marina Del Rey,Big Blue Bus|Los Angeles,Big Blue Bus,18,ffffff,3,18,UCLA - Marina Del Rey,18
2,BBB:82618,"[{'branch_code': '', 'direction_headsign': 'UCLA', 'direction_id': 0, 'headsign': 'UCLA', 'merged_headsign': 'UCLA', 'schedule_items': [{'departure_time': 1684253480, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905205', 'scheduled_departure_time': 1684253400, 'trip_search_key': 'BBB:42140293:41:7:9', 'wheelchair_accessible': 1}, {'departure_time': 1684254295, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905208', 'scheduled_departure_time': 1684254300, 'trip_search_key': 'BBB:42140293:41:7:10', 'wheelchair_accessible': 1}, {'departure_time': 1684254983, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905206', 'scheduled_departure_time': 1684254960, 'trip_search_key': 'BBB:42140293:41:7:11', 'wheelchair_accessible': 1}]}]",Bus,3618,00549e,Culver City Station - UCLA,Big Blue Bus|Los Angeles,Big Blue Bus,17,ffffff,3,17,Culver City Station - UCLA,17
0,BBB:14413,"[{'branch_code': '', 'direction_headsign': 'UCLA', 'direction_id': 0, 'headsign': 'UCLA', 'merged_headsign': 'UCLA', 'schedule_items': [{'departure_time': 1684296360, 'is_cancelled': False, 'is_real_time': False, 'rt_trip_id': '903272', 'scheduled_departure_time': 1684296360, 'trip_search_key': 'BBB:42140293:9:7:0', 'wheelchair_accessible': 1}, {'departure_time': 1684382760, 'is_cancelled': False, 'is_real_time': False, 'rt_trip_id': '903272', 'scheduled_departure_time': 1684382760, 'trip_search_key': 'BBB:42140293:9:8:0', 'wheelchair_accessible': 1}, {'departure_time': 1684469160, 'is_cancelled': False, 'is_real_time': False, 'rt_trip_id': '903272', 'scheduled_departure_time': 1684469160, 'trip_search_key': 'BBB:42140293:9:9:0', 'wheelchair_accessible': 1}]}]",Bus,3605,00549e,Wilshire Blvd / UCLA,Big Blue Bus|Los Angeles,Big Blue Bus,2,ffffff,3,2,Wilshire Blvd / UCLA,2
1,BBB:82618,"[{'branch_code': '', 'direction_headsign': 'UCLA', 'direction_id': 0, 'headsign': 'UCLA', 'merged_headsign': 'UCLA', 'schedule_items': [{'departure_time': 1684254102, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905208', 'scheduled_departure_time': 1684254300, 'trip_search_key': 'BBB:42140293:41:7:10', 'wheelchair_accessible': 1}, {'departure_time': 1684255029, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905206', 'scheduled_departure_time': 1684254960, 'trip_search_key': 'BBB:42140293:41:7:11', 'wheelchair_accessible': 1}, {'departure_time': 1684255860, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905192', 'scheduled_departure_time': 1684255860, 'trip_search_key': 'BBB:42140293:41:7:12', 'wheelchair_accessible': 1}]}]",Bus,3618,00549e,Culver City Station - UCLA,Big Blue Bus|Los Angeles,Big Blue Bus,17,ffffff,3,17,Culver City Station - UCLA,17
2,BBB:69580,"[{'branch_code': '', 'direction_headsign': 'UCLA', 'direction_id': 0, 'headsign': 'UCLA', 'merged_headsign': 'UCLA', 'schedule_items': [{'departure_time': 1684255296, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905385', 'scheduled_departure_time': 1684255320, 'trip_search_key': 'BBB:42140293:43:7:4', 'wheelchair_accessible': 1}, {'departure_time': 1684257180, 'is_cancelled': False, 'is_real_time': False, 'rt_trip_id': '905386', 'scheduled_departure_time': 1684257180, 'trip_search_key': 'BBB:42140293:43:7:5', 'wheelchair_accessible': 1}, {'departure_time': 1684258536, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905387', 'scheduled_departure_time': 1684258620, 'trip_search_key': 'BBB:42140293:43:7:6', 'wheelchair_accessible': 1}]}]",Bus,3619,00549e,UCLA - Marina Del Rey,Big Blue Bus|Los Angeles,Big Blue Bus,18,ffffff,3,18,UCLA - Marina Del Rey,18
0,BBB:14413,"[{'branch_code': '', 'direction_headsign': 'UCLA', 'direction_id': 0, 'headsign': 'UCLA', 'merged_headsign': 'UCLA', 'schedule_items': [{'departure_time': 1684296360, 'is_cancelled': False, 'is_real_time': False, 'rt_trip_id': '903272', 'scheduled_departure_time': 1684296360, 'trip_search_key': 'BBB:42140293:9:7:0', 'wheelchair_accessible': 1}, {'departure_time': 1684382760, 'is_cancelled': False, 'is_real_time': False, 'rt_trip_id': '903272', 'scheduled_departure_time': 1684382760, 'trip_search_key': 'BBB:42140293:9:8:0', 'wheelchair_accessible': 1}, {'departure_time': 1684469160, 'is_cancelled': False, 'is_real_time': False, 'rt_trip_id': '903272', 'scheduled_departure_time': 1684469160, 'trip_search_key': 'BBB:42140293:9:9:0', 'wheelchair_accessible': 1}]}]",Bus,3605,00549e,Wilshire Blvd / UCLA,Big Blue Bus|Los Angeles,Big Blue Bus,2,ffffff,3,2,Wilshire Blvd / UCLA,2
1,BBB:82618,"[{'branch_code': '', 'direction_headsign': 'UCLA', 'direction_id': 0, 'headsign': 'UCLA', 'merged_headsign': 'UCLA', 'schedule_items': [{'departure_time': 1684254901, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905206', 'scheduled_departure_time': 1684254960, 'trip_search_key': 'BBB:42140293:41:7:11', 'wheelchair_accessible': 1}, {'departure_time': 1684255828, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905192', 'scheduled_departure_time': 1684255860, 'trip_search_key': 'BBB:42140293:41:7:12', 'wheelchair_accessible': 1}, {'departure_time': 1684256640, 'is_cancelled': False, 'is_real_time': False, 'rt_trip_id': '905207', 'scheduled_departure_time': 1684256640, 'trip_search_key': 'BBB:42140293:41:7:13', 'wheelchair_accessible': 1}]}]",Bus,3618,00549e,Culver City Station - UCLA,Big Blue Bus|Los Angeles,Big Blue Bus,17,ffffff,3,17,Culver City Station - UCLA,17
2,BBB:69580,"[{'branch_code': '', 'direction_headsign': 'UCLA', 'direction_id': 0, 'headsign': 'UCLA', 'merged_headsign': 'UCLA', 'schedule_items': [{'departure_time': 1684255320, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905385', 'scheduled_departure_time': 1684255320, 'trip_search_key': 'BBB:42140293:43:7:4', 'wheelchair_accessible': 1}, {'departure_time': 1684257180, 'is_cancelled': False, 'is_real_time': False, 'rt_trip_id': '905386', 'scheduled_departure_time': 1684257180, 'trip_search_key': 'BBB:42140293:43:7:5', 'wheelchair_accessible': 1}, {'departure_time': 1684258536, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905387', 'scheduled_departure_time': 1684258620, 'trip_search_key': 'BBB:42140293:43:7:6', 'wheelchair_accessible': 1}]}]",Bus,3619,00549e,UCLA - Marina Del Rey,Big Blue Bus|Los Angeles,Big Blue Bus,18,ffffff,3,18,UCLA - Marina Del Rey,18
0,BBB:69580,"[{'branch_code': '', 'direction_headsign': 'UCLA', 'direction_id': 0, 'headsign': 'UCLA', 'merged_headsign': 'UCLA', 'schedule_items': [{'departure_time': 1684257180, 'is_cancelled': False, 'is_real_time': False, 'rt_trip_id': '905386', 'scheduled_departure_time': 1684257180, 'trip_search_key': 'BBB:42140293:43:7:5', 'wheelchair_accessible': 1}, {'departure_time': 1684258538, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905387', 'scheduled_departure_time': 1684258620, 'trip_search_key': 'BBB:42140293:43:7:6', 'wheelchair_accessible': 1}, {'departure_time': 1684259921, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905381', 'scheduled_departure_time': 1684260120, 'trip_search_key': 'BBB:42140293:43:7:7', 'wheelchair_accessible': 1}]}]",Bus,3619,00549e,UCLA - Marina Del Rey,Big Blue Bus|Los Angeles,Big Blue Bus,18,ffffff,3,18,UCLA - Marina Del Rey,18
